Location,Date,Mean Temp (°C),Conductivity,Total Precip (mm),Turbidity,Total Snow (cm),Cool Deg Days (°C),Spd of Max Gust (km/h),Label_Anomaly,Label_Proxy,Predicted_Risk_Score,Risk_Level
Pockwock,2003-11-28,0.2112905975151309,0.9497931081264565,1.4710158987865691,-0.2071892741431968,-0.8075721788079768,-0.2851752343830888,-0.1585158461056945,0,0,0.001292621716170573,Low
Pockwock,2003-11-29,0.7039247240186121,0.763389271347727,1.2098069374438716,-0.0420847796141202,-0.6100591332021785,-0.4855818863557979,-0.3327661874014452,0,0,0.001292621716170573,Low
Shelburne,2003-11-29,0.6859048414718691,-0.7780570912303603,1.070512502631998,-0.0791971047247535,-0.1791112747437828,-0.4933286592110774,-0.4038910418179082,0,0,0.001292621716170573,Low
Margaree,2003-11-29,0.266841326564447,4.825348714861341,2.390271711918478,0.4090132403960083,-0.736081817128101,-0.430175699298148,-1.2763268020885952,0,0,0.03833106192061561,Low
Pockwock,2003-11-30,-0.5680994067171828,-0.2013470434493018,0.1531314946551704,-0.8997483186376961,-0.7093492453788075,-0.0954517571615893,0.539870635120711,0,0,0.001292621716170573,Low
Margaree,2003-11-30,-0.6703354767278294,1.3064623953147134,-1.5992008834395983,-0.979267684711563,0.0490912994978693,-0.4502922853544561,-0.2369629629737802,0,0,0.001374694551992668,Low
Shelburne,2003-11-30,-0.6883676313185164,-1.369438473361157,0.5726438304671252,-1.0450669566592643,-0.4560601245203239,-0.2336017402698239,-0.5157386953466645,0,0,0.001292621716170573,Low
Margaree,2003-12-01,-0.5739424292378859,1.5961805598937535,-0.5945493520056435,-0.7685604040897048,-0.2882646286713506,-0.3360744095085314,-0.0687352986097991,0,0,0.001374694551992668,Low
Shelburne,2003-12-01,-0.4540863007088604,-1.250924178407531,0.5687345505161029,-0.9020502295052656,-0.4634256178265821,-0.2533756917957887,-0.363986009573151,0,0,0.001292621716170573,Low
Pockwock,2003-12-01,-0.5512579043679496,-0.1099104930172175,0.1995027667068312,-0.8695291510396468,-0.7649970325983514,-0.0578331390117905,0.683750138582433,0,0,0.001292621716170573,Low
Margaree,2003-12-02,-2.1700660314846054,1.8211798754792696,-1.000487898873939,-1.4736348740679042,-0.8109078317834475,0.4204755642444585,1.4622185857702168,0,1,0.0021265230385096637,Low
